epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,10837,0.68424,0.60032,0.9177,0.95232,0.9928,0.98379,0.88767,0.48302,0.30247,0.82092,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11044.6,0.68146,0.59413,0.91568,0.95789,0.98491,0.98481,0.8816,0.5006,0.30191,0.82423,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11252.5,0.67717,0.5947,0.91554,0.96283,0.98508,0.98558,0.88308,0.49785,0.30023,0.82421,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11459.9,0.67748,0.59283,0.9143,0.95946,0.98687,0.98449,0.87259,0.52679,0.30279,0.83084,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11667.3,0.6744,0.58514,0.91338,0.95898,0.98702,0.98447,0.88712,0.48294,0.29578,0.82094,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11875.3,0.6734,0.58791,0.91261,0.95761,0.98757,0.98485,0.88461,0.49155,0.29637,0.82195,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,12083.5,0.67199,0.58558,0.9129,0.96326,0.98444,0.98524,0.89037,0.47547,0.29367,0.81873,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12290.7,0.66899,0.58186,0.91065,0.95881,0.98763,0.98503,0.88745,0.48221,0.29377,0.82027,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,12498.4,0.66938,0.58364,0.91205,0.96225,0.98224,0.98514,0.89042,0.4753,0.29218,0.819,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,12706,0.66511,0.5839,0.91045,0.958,0.98658,0.98449,0.88658,0.48424,0.29312,0.82047,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12913.6,0.66747,0.58367,0.91123,0.96035,0.98453,0.98498,0.88959,0.4757,0.29193,0.81917,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,13119.5,0.65998,0.57271,0.90584,0.96183,0.98374,0.98522,0.88286,0.49673,0.2928,0.82282,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,13327.5,0.65924,0.57391,0.90713,0.96365,0.98343,0.98548,0.88674,0.48473,0.28967,0.82083,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,13534,0.65933,0.57295,0.90972,0.9689,0.9783,0.98623,0.89222,0.47067,0.28548,0.81787,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13741.2,0.65394,0.56645,0.90626,0.96457,0.98249,0.98582,0.89385,0.46444,0.28473,0.81689,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,13948.6,0.65321,0.56526,0.90435,0.9674,0.98058,0.98636,0.89184,0.47352,0.28408,0.81835,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,14156.5,0.65127,0.56151,0.90422,0.96436,0.98328,0.98582,0.89253,0.47072,0.28566,0.81791,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,14364.1,0.64881,0.5614,0.90455,0.96245,0.98462,0.98564,0.89564,0.46181,0.28234,0.81594,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,14572.4,0.64661,0.55592,0.90159,0.96433,0.98442,0.98615,0.89602,0.46153,0.2814,0.81594,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
